product_name,start_range,end_range
Wedgwood Jasperware Plaque Art Nouveau Period,11040,15960
Estate Nintendo Entertainment System Boxed c.1800 With Certificate,2670,4840
Restored Boucheron Gold Cuff,23240,38310
Louis XIII Cognac Baccarat Decanter Unrestored,9730,25000
Exhibited Stephen Shore Uncommon Places Estate Fresh,8690,26160
Museum Quality WPA Federal Art Project Poster c.1900,2580,7880
Notable Tribal Caucasian Kazak Rug,1810,4440
Original Louis XIII Cognac Baccarat Decanter c.1840,2940,9040
Man Ray Rayograph c.1820,210,350
Kutani Porcelain Plate,10330,23340
Exceptional Banjo Clock American Federal,4730,14250
Remarkable WWI Trench Art Vase,730,2280
Chanel Classic Flap Bag c.1880,9790,26830
Museum Quality Cinderella Stamp Album Georgian Period,2180,4530
Notable Vintage Gucci Bamboo Bag 19th Century,9860,18060
Givenchy Audrey Hepburn Dress Unrestored,3450,5320
Unique Alabaster Torso,25700,52040
Shell Oil Porcelain Sign c.1950,1540,3580
Porsche Enamel Dealer Sign Arts & Crafts Era,600,1810
Monumental Stone Lion Garden Statue Pair Federal Period,5860,15000
Unique Vintage Dashboard Clock Jaeger,880,2460
Ornate Art Deco Beaded Flapper Dress Mid-Century,11910,19430
Vintage Multi-Strand Pearl Choker c.1970,26360,69840
Banjo 5-String Prewar Gibson,24540,60000
Superb Roman Legionary Helmet Replica With Provenance,4150,10300
Late Buffet R13 Clarinet,12660,44130
Atmos Clock Jaeger-LeCoultre c.1780,7060,18000
Apothecary Scale Marble Base With Provenance,530,1770
Antique Regency Dining Table c.1780,8160,12440
Superb Tribal Caucasian Kazak Rug,500,1310
Game Bird Print Set Framed Unrestored,5360,9640
Early Murano Glass Chandelier 12 Arm,9090,20000
Exquisite Chinese Art Deco Carpet,860,2060
Pristine Backgammon Set Leather Vintage,5230,12000
Attributed Whatnot Corner Shelf Regency Period Excellent Condition,6800,23100
Certified Pre-Prohibition Bourbon Bottle Edwardian Era,10990,25000
Georgian Silver Candlestick Pair,5230,8530
Original Sand Cast Bronze Relief Arts & Crafts Era,29440,68260
Important Incunabulum Leaf 1480s c.1920,7180,15640
Wire Mesh Figure,22590,34920
Exquisite Egg Tempera Still Life c.1920 Estate Fresh,36780,125390
Delicate Saint Louis Crystal Goblet Set,7500,13860
Provenance Theodolite Surveying Instrument c.1930 Good Condition,2880,7920
Chinese Cash Coin Collection,40740,66630
Mauritius Post Office Stamp Early 20th Century Good Condition,620,1690
Period Valentino Couture Cape Belle Epoque,10740,25450
Fine Oil on Canvas Landscape c.1950 Good Condition,22210,41800
Remarkable Bakelite Telephone Rotary Belle Epoque,5750,16920
Authentic Betty Lamp Iron Colonial,9480,20000
Indian Head Gold Eagle c.1960 From Private Collection,17480,29520
Christian Dior Bar Suit,900,1350
Plaster Maquette,27970,73050
Documented Night Clock Oil Lamp Italian As Found,740,1850
Richard Avedon Portrait Print,2660,3480
Revolutionary War Musket Empire Period,7320,10850
Important Sundial Bronze Armillary,5950,12030
Cappiello Campari Poster Museum Deaccessioned,650,1260
Exhibited Empire Mahogany Bookcase Federal Period,11460,25000
Original Cricket Bat Signed Vintage c.1820,3240,11080
Provincial Vintage Port Taylor's 1963 Recently Conserved,10060,25000
Attributed Sevres Porcelain Urn Museum Deaccessioned,12620,37670
Grand Chinese Tang Dynasty Mirror,1110,3500
Certified Desert Storm Challenge Coin Set c.1960,6480,11560
Vintage Fly Fishing Rod Hardy c.1920,4600,10660
Select Art Deco Travel Poster Paris 18th Century,1220,3480
Colonial Walking Liberty Half Dollar,30020,86570
Sultanabad Mahal Carpet With Provenance,13090,27400
Vintage Papua New Guinea Spirit Mask Estate Fresh,450,1310
Magnificent Irving Penn Still Life Print,12340,24150
Bouillotte Lamp Brass French Arts & Crafts Era,1010,3080
Restored Hooked Rug Floral Design Mid-Century As Found,5600,10370
Delicate Hawaiian Missionaries Stamp c.1840,20140,38510
Seated Liberty Half Dollar,20470,52540
Double Eagle $20 Gold Coin Belle Epoque,19280,30420
Early Louis XV Bergere Chair c.1780 As Found,2260,7680
Select Welded Steel Abstract With Provenance,18640,42520
Signed Northwest Coast Totem Pole Model,2010,3520
Certified Jackie Robinson Dodgers Cap Federal Period,7140,16090
Ornate Hunting Horn Silver Mounted,3560,7130
Provincial Alphonse Mucha Art Nouveau Print Art Nouveau Period,3940,6330
Magnificent Maori Carved Tiki Figure Modernist Period As Found,12430,22250
Sony Walkman TPS-L2 Original c.1970 With Provenance,13480,25800
Unmatched Sony Walkman TPS-L2 Original,800,2090
Remarkable Art Deco Mantel Clock Late Victorian,3520,10120
Authentic Northwest Coast Totem Pole Model With Provenance,4300,10310
Unmatched Vintage Pocket Watch Gold,9280,27060
Grand Stephen Shore Uncommon Places,9250,29400
Distinguished Hooked Rug Floral Design,860,2150
Cigar Store Indian Figure c.1940,1080,2270
Ornate Alabaster Torso Museum Deaccessioned,14500,50430
Certified Mixed Media Collage Arts & Crafts Era,21970,60570
Suzani Embroidered Textile Federal Period,8470,25700
Porsche Enamel Dealer Sign,2210,3490
Colonial Stumpwork Embroidery Panel c.1840 As Found,11960,25000
Magnificent Brass Telescope Victorian Federal Period,7480,15000
Satsuma Vase Meiji Period,19600,40000
Outstanding Backgammon Set Leather Vintage Regency Period,1720,3320
Late Art Deco Illustrated Novel Late Victorian,21680,50000
Authentic Gretsch White Falcon Guitar 19th Century Excellent Condition,20950,33690
Delicate Durand Pulled Feather Vase c.1840,4360,11930
Thematic Space Collection Modernist Period,22280,46820
Museum Quality Art Deco Automobile Mascot c.1920,2330,3560
Oversized Lalique Crystal Bacchantes Vase,970,2730
American Coin Silver Spoons Estate Fresh,990,3400
Ornate Buddy L Pressed Steel Truck Early 20th Century Excellent Condition,2510,7460
Vintage Chronometer Marine Deck c.1820,5310,11020
Provenance Wire Mesh Figure,24530,80000
Blenko Hand Blown Decanter 18th Century,2530,4000
Exceptional Greek Tetradrachm Mid-Century Recently Conserved,45440,88660
Exquisite Fortuny Delphos Gown 19th Century,7130,11540
Rare Lalique Crystal Bacchantes Vase,450,880
Rolling Ball Clock Brass c.1910,2780,5660
Exquisite Diego Maradona Signed Shirt c.1960 From Private Collection,7610,19660
Balloon Clock Edwardian,6560,18000
Exceptional Schuco Micro Racer,7140,15000
Exceptional Military Field Watch WWII Post-War Good Condition,1700,3780
Estate Terra Cotta Garden Planter Large Arts & Crafts Era,2930,7800
Magnificent Antique Brass Door Hardware Set,3080,6400
Provincial Moog Minimoog Synthesizer c.1880,3310,8290
Unmatched Hair Art Memorial Wreath,440,820
Monumental Mixed Media Collage Arts & Crafts Era,34590,95530
Olmec Jade Mask Fragment Post-War,9410,29230
Antique Fishing Reel Collection,2290,6510
Exquisite Michael Jordan Game Jersey Edwardian Era,16940,44150
Ancient Greek Hoplite Shield Fragment Belle Epoque,1970,4470
Superb Carved Stone Garden Bench,4200,7470
Grand Hunting Horn Silver Mounted c.1840 Recently Conserved,4940,12000
Girandole Mirror Candelabra c.1950,8000,13810
Antique Art Exhibition Poster Picasso With Certificate,3320,9600
Exceptional Vintage Armagnac 1893 19th Century,3180,9380
Arts & Crafts Oak Settle,4150,8770
Select Olympic Games Poster Collection,5580,12000
Diamond Riviere Necklace,14140,35160
Nikon F Camera Body Federal Period,8750,12520
Outstanding Sheffield Plate Epergne 18th Century,5240,14530
Documented Emily Dickinson Manuscript Art Nouveau Period,20000,50000
Premier 1913 Liberty Head Nickel,21510,59860
Authentic Wedgwood Jasperware Plaque c.1880,2700,8210
Oushak Wool Carpet Estate Fresh,9320,12600
Superb Sundial Bronze Armillary c.1860 From Private Collection,4880,13870
Signed Nantucket Lightship Basket 18th Century With Certificate,2220,5800
Givenchy Audrey Hepburn Dress,14540,35000
Tiffany Sterling Flatware Set c.1930,8100,12230
Vintage Super Bowl I Program Early 20th Century,17430,45160
Exceptional Super Bowl I Program Federal Period From Private Collection,21730,48330
Remarkable Gibson Les Paul Standard 1959 c.1820 Good Condition,29790,60000
Period Moorcroft Pomegranate Vase,50,130
Select Antique Celestial Globe Recently Conserved,2640,6920
Yquem Sauternes 1967 c.1840,4540,13160
Early Miniature Portrait on Ivory Recently Conserved,8050,25000
Museum Quality Resin Cast Figure Empire Period,34830,80000
Period Ancient Greek Hoplite Shield Fragment,910,2810
Oversized Jumping Hour Watch Art Deco,14070,49220
1909-S VDB Lincoln Penny c.1950,17150,34400
Joel Meyerowitz Cape Light Print c.1860,14450,26470
Remarkable Norman Rockwell Saturday Evening Post c.1820 Excellent Condition,3380,5750
Period Polynesian Tapa Cloth With Certificate,9980,19410
Kneehole Desk Georgian,2580,5780
Provincial Curta Calculator Type II Art Nouveau Period,8130,14420
Exhibited Nintendo Game Boy Sealed c.1930 Estate Fresh,1460,3020
Exquisite Gibson Les Paul Standard 1959 Edwardian Era Excellent Condition,9400,18490
Indian Mughal Miniature Painting From Private Collection,27520,60000
Restored Antique Decoy Duck Carved c.1970 Good Condition,770,1520
Medieval English Groat c.1860,36760,94030
Antique Cigar Store Indian Figure,980,1700
Oversized Wheel Barometer Rosewood c.1950,970,1970
Kneehole Desk Georgian Art Nouveau Period,8190,17510
Remarkable WWII Aviator Leather Jacket,6250,13680
Matched Georgian Tallboy Chest,11160,25000
Trestle Refectory Table Federal Period,1910,4510
Resin Cast Figure Late Victorian,7140,20990
Authentic Chippendale Secretary Desk Early 20th Century,3610,7410
KPM Berlin Plaque c.1880,14020,33410
Trade Sign Optician Spectacles c.1780,7570,13500
Pristine Orrery Planetary Model With Certificate,6100,15000
Exceptional Student Lamp Brass Double Museum Deaccessioned,5470,11460
Art Nouveau Silver Photo Frame c.1820,2520,4730
Scarce WPA Federal Art Project Poster,4690,8940
Delicate Glass Blown Sculpture,31480,49890
Premier Tang Dynasty Horse Figure,15810,27090
Select WWI Trench Art Vase Art Nouveau Period,5620,11820
Miniature Bentley Flying B Mascot,2140,5000
Colonial Blenko Hand Blown Decanter c.1960 From Private Collection,1620,2600
Vintage Hofner 500/1 Bass Guitar,15990,29460
Flemish Verdure Tapestry Mid-Century Museum Deaccessioned,2060,5520
Signed Plein Air Coastal Scene From Private Collection,3240,5540
Remarkable Spanish Doubloon,5070,14260
Superb Sega Genesis Console Boxed c.1920,2340,6600
Published African Bronze Benin Head From Private Collection,13280,31470
Pristine Taper Stick Silver Georgian Unrestored,9820,20000
Unmatched Vintage Port Taylor's 1963 c.1840,12380,25000
Wimbledon Championship Trophy Replica,22880,41760
Period Medieval Broadsword 19th Century,8180,19720
Provincial Proof Silver Eagle Set Post-War Good Condition,34630,100000
Maori Carved Tiki Figure,15470,40000
Scarce Selmer Mark VI Tenor Saxophone Estate Fresh,13790,18280
Distinguished African Bronze Benin Head c.1860,8150,14200
Oversized Dom Perignon 1996,3000,7240
Oversized Rushlight Holder Iron Unrestored,4700,7530
Signed Mauritius Post Office Stamp Federal Period,12400,23550
Choice Tachisme Drip Painting c.1960,52000,150000
Louis Vuitton Trunk Antique c.1900,13540,32360
Whittled Walking Cane Late Victorian Museum Deaccessioned,4220,10940
Distinguished Hydrographic Chart Coastal Modernist Period,3870,5480
Impressionist Garden Scene 19th Century,15220,21300
Estate Cookie Board Springerle Georgian Period,7800,12800
Antique Rhodes Mark I Stage Piano Regency Period,9730,28170
Decoy Shorebird Carved c.1920,720,2230
Superb Gilded Rococo Console Table Arts & Crafts Era Good Condition,8880,12160
Estate Virginia Woolf First Edition Georgian Period Museum Deaccessioned,21150,28800
Miniature Auto Racing Trophy 1960s c.1880 As Found,490,1040
Rare Navajo Chief's Blanket c.1920,8250,26260
Theorem Painting on Velvet Late Victorian,6420,17010
Papua New Guinea Spirit Mask c.1960,1200,2320
Exceptional Webb Cameo Glass Vase Early 20th Century,4620,13700
Premier Bronze Figurine c.1970,37200,77560
Select Vintage Fly Fishing Rod Hardy From Private Collection,780,1050
Exceptional Pastel Nude Study,68420,150000
Choice Banjo Clock American Federal c.1840 Excellent Condition,2090,6280
Certified Antique Van Cleef Bracelet Modernist Period,1080,2260
Ortelius Theatrum Orbis Page c.1910,4880,12000
Early Wayne Gretzky Rookie Card,22840,50000
Outstanding Victorian Chaise Lounge,7550,10160
Certified Waterford Crystal Decanter Set,9320,25000
Scarce Antique Decoy Duck Carved Early 20th Century,3150,9290
Royal Copenhagen Flora Danica Plate,5110,17060
Cinderella Stamp Album Art Deco Period With Provenance,9350,24770
Documented Victorian Chaise Lounge With Provenance,4480,10390
Scarce Joe DiMaggio Bat Game Used Post-War Recently Conserved,17600,50000
Attributed Nintendo Game Boy Sealed,5620,12000
Easter Island Moai Replica,1810,4900
Retro Ruby Bracelet Regency Period,14320,33720
Period Masters Tournament Flag Signed c.1940,10000,17080
Vintage Beadwork Purse Victorian Empire Period From Private Collection,5650,17710
Ashcan School Street Scene 18th Century As Found,44620,69140
Boxing Gloves Vintage Leather 18th Century,2190,5730
Historic Secretariat Derby Photo Early 20th Century,23050,50000
Penny Black 1840 Arts & Crafts Era,6390,19770
Exquisite Pan Am Airlines Poster 1960s c.1860 Recently Conserved,1550,2580
Unmatched Revolutionary War Musket Georgian Period Estate Fresh,9400,20000
Continental Taxidermy Pheasant Display c.1820,3250,6980
Unique Theodolite Surveying Instrument c.1970,640,2110
Published Level Spirit Brass Surveyor,4910,15000
Scarce Byzantine Gold Solidus c.1840 Good Condition,39630,100000
Matched Richard Avedon Portrait Print c.1950,6510,18510
Museum Quality Backgammon Set Leather Vintage c.1820 With Certificate,4210,7010
Rare Cast Iron Garden Urn Pair Early 20th Century Good Condition,2850,5670
Provenance Gilt Bronze Candelabra Pair 19th Century,10970,17390
Unmatched Hofner 500/1 Bass Guitar Unrestored,11380,25210
Grand Tiger Woods Tournament Putter c.1860,12460,43570
Ernie Ball Music Man StingRay Bass Mid-Century Estate Fresh,21690,36940
Hennessy Paradis Imperial Unrestored,6270,17590
Continental Alfa Romeo Enamel Badge Estate Fresh,1560,5000
Matched Tiffany Wisteria Table Lamp,10560,24860
Authentic Persian Miniature Manuscript Page Federal Period,24140,50000
Steiff Teddy Bear 1905 Estate Fresh,1790,5970
Important Standing Liberty Quarter Federal Period,43530,100000
Oil on Canvas Landscape Mid-Century,27860,59530
Magnificent Butler's Tray Table,8990,13930
Sultanabad Mahal Carpet c.1940,13560,30000
Hammond B3 Organ,22770,41780
Exhibited Aston Martin Wings Badge Empire Period Museum Deaccessioned,250,820
Notable Georgian Silver Tea Set Good Condition,5620,18880
Brass Telescope Victorian Excellent Condition,6990,13000
Antique Railroad Map United States 1870 Estate Fresh,1930,3740
Tang Dynasty Horse Figure Belle Epoque As Found,1320,2150
Colonial Bakhtiari Garden Design Rug Arts & Crafts Era,13220,25830
Original Antique Tennis Racket Federal Period With Provenance,1880,6130
Authentic Aston Martin Wings Badge c.1880,1790,3420
Exceptional Papier Mache Tray Victorian 18th Century,4020,7510
Unmatched Tansu Japanese Step Chest c.1960 Museum Deaccessioned,640,1710
Rare Cricket Bat Signed Vintage Mid-Century From Private Collection,130,290
Continental Quilt Log Cabin Pattern c.1920 As Found,5730,9350
Documented Martin D-28 Acoustic Guitar,1360,2320
Scarce Silhouette Portrait Collection,10840,19910
Olmec Jade Mask Fragment Belle Epoque,12710,40000
Antique Celtic Harp Hand Carved 19th Century With Certificate,14470,44200
Apple I Computer Board,10100,14100
Miniature Digital LED Watch 1970s c.1800 Museum Deaccessioned,51980,120000
Rare Marklin Tin Train Set Georgian Period,6700,8940
Antique Brass Car Horn c.1910 Excellent Condition,1880,2910
Exceptional Berenice Abbott Manhattan Print,4910,10080
Choice Zenith El Primero From Private Collection,29080,77910
Museum Quality Turkmen Tekke Carpet c.1930,11750,30000
Museum Quality Stainless Steel Modern Piece c.1880,24620,48850
Matched Edwardian Pearl Necklace c.1910,10800,28340
Venetian Lattimo Glass Bowl Good Condition,7530,11850
Cigar Store Indian Figure Regency Period With Certificate,8900,12240
Matched Majolica Garden Seat c.1800 Estate Fresh,9800,14130
Silk Route Trade Map Reproduction,2050,5060
Documented Trade Sign Optician Spectacles c.1970,1550,4600
Monumental Girard-Perregaux Laureato,5770,15640
Grand Civil War Letters Collection 19th Century,7020,11980
Rare Morganite Engagement Ring Federal Period With Provenance,31180,56500
Important Amber Drop Earrings,590,1750
Select Whitefriars Tangerine Vase c.1940 Unrestored,7760,18550
Exquisite Antique Fireplace Mantel Marble Late Victorian,6390,15000
Published Georg Jensen Silver Pitcher c.1910 Excellent Condition,6910,14980
Buccellati Silver Bowl c.1950,1040,1460
Proof Silver Eagle Set Art Deco Period,34850,83900
Signed Burmese Lacquerware Box c.1950 Excellent Condition,6210,13590
Remarkable Newel Post Cap Bronze,3590,6680
Attributed Cinderella Stamp Album c.1780,2900,7210
Documented Berenice Abbott Manhattan Print Post-War,11150,16450
WWII German Binoculars c.1950,9290,16160
Unique Buccellati Silver Bowl Art Nouveau Period,2430,5510
Exhibited Irish Silver Sugar Bowl,1330,4020
Select A. Lange & Sohne Saxonia Belle Epoque Good Condition,18150,40590
Remarkable Silhouette Portrait Collection c.1960,3160,9300
Miniature Skeleton Mechanical Watch Georgian Period,34710,100420
Museum Quality Oil on Canvas Landscape Arts & Crafts Era,11340,19780
Exceptional Aneroid Barometer Victorian Late Victorian,2170,3460
Published Moonstone Cocktail Ring,3970,11620
Balenciaga Couture Gown,730,2550
Certified Brass Telescope Victorian,4890,9260
Scarce French Foreign Legion Kepi c.1960 With Certificate,3010,6400
Provenance Northwest Coast Totem Pole Model c.1820,4130,12040
Outstanding China Red Revenue Stamp,3690,7180
Delicate Scrimshaw Whale Tooth Modernist Period,4180,8730
Vintage Gilded Rococo Console Table Georgian Period Museum Deaccessioned,12090,25000
Late AA Badge Chrome Collection c.1940 Good Condition,2340,5000
Valentino Couture Cape c.1910,7260,11180
Walker Evans FSA Print Post-War,8460,16640
Georgian Silver Candlestick Pair Art Deco Period Recently Conserved,1850,4750
Delicate Pewter Miniature Set Georgian Period With Certificate,15530,24060
Lionel Standard Gauge Train,5740,13590
Certified Irving Penn Still Life Print c.1840,3810,5530
Attributed Wimbledon Championship Trophy Replica Art Deco Period,16880,41470
Continental Peridot Stud Earrings,36960,75000
Royal Doulton Character Jug c.1940,19850,40000
Select Glass Blown Sculpture c.1950,33160,80000
Outstanding Venini Glass Pendant Light Arts & Crafts Era,660,1250
Authentic Alphonse Mucha Art Nouveau Print,2800,7880
Sardonyx Intaglio Ring Museum Deaccessioned,29440,45230
Atari 2600 Console Boxed c.1780,10590,23800
Historic Hermes Kelly Bag Regency Period,10540,34040
Fraktur Pennsylvania German Federal Period Recently Conserved,8820,16360
Attributed Proof Silver Eagle Set,33930,100000
Certified Walking Liberty Half Dollar c.1880,30530,72850
Pristine Revolutionary War Musket Empire Period,1820,4490
Certified Oris Aquis Date c.1970 From Private Collection,30380,103260
Night Clock Oil Lamp Italian c.1880,8260,13040
Provincial Painted Fireboard Scene,7380,18000
Important Cookie Board Springerle Georgian Period,8180,14890
Superb Sheffield Plate Epergne c.1900 As Found,860,2090
Documented Rushlight Holder Iron Arts & Crafts Era Recently Conserved,2600,7350
Unique Longcase Grandfather Clock Edwardian Era From Private Collection,1190,1650
Steinway Model B Grand Piano Regency Period Estate Fresh,18090,55950
Sweden Treskilling Yellow,19540,25520
Delicate Civil War Officer's Sword Belle Epoque Recently Conserved,2530,3550
Late Mid-Century Arco Floor Lamp Good Condition,7950,16570
Estate Maxfield Parrish Print Framed Empire Period,110,220
Chronometer Deck Watch Naval,26660,41690
Vintage Carved Wood Totem,25640,76930
Remarkable Lead Garden Cistern Georgian Early 20th Century From Private Collection,5180,14280
Provincial Joel Meyerowitz Cape Light Print c.1780 Estate Fresh,2130,2920
Period Limoges Enamel Box Collection Art Deco Period Unrestored,3300,5370
Japanese Koban Gold,8300,19430
Remarkable Heriz Serapi Rug,11470,18030
Museum Quality Babe Ruth Signed Baseball c.1950 As Found,1940,2700
Authentic Antique Brass Door Hardware Set,3760,6940
WPA Federal Art Project Poster c.1970,4390,12000
Historic Cameo Shell Brooch,9240,29730
Ship Figurehead Carved Late Victorian Unrestored,3600,10570
Art Nouveau Opal Pendant With Certificate,31310,75000
Provenance Czech Art Glass Sculpture Modernist Period,12460,25000
Stumpwork Embroidery Panel Early 20th Century,580,1740
Astronomical Regulator Clock c.1940,550,1170
Autoharp Oscar Schmidt Antique c.1800 Estate Fresh,10650,20770
Unique Tortoiseshell Tea Caddy,11160,25000
Delicate Moonstone Cocktail Ring Edwardian Era Excellent Condition,29250,72400
Museum Quality Maori Carved Tiki Figure,18860,40000
Miniature Night Clock Oil Lamp Italian Belle Epoque,6230,18000
Oversized Khmer Sandstone Apsara Relief,29970,60000
Sebastiao Salgado Workers Print c.1930,4320,7560
Lyrical Abstraction Canvas,42700,134700
Certified Suzani Embroidered Textile,1050,1910
Cuckoo Clock Black Forest,4820,9740
Colonial Currier & Ives Lithograph 19th Century,3100,10270
Premier Silk Route Trade Map Reproduction Federal Period With Certificate,4190,10690
Vintage Alfred Stieglitz Equivalent Print Art Deco Period,8630,29080
Scarce Jaguar Leaper Hood Ornament Unrestored,2380,5000
Select Japanese Koban Gold c.1780,12250,31430
Cartier Tank Good Condition,59860,119790
Matched Vintage Fly Fishing Rod Hardy c.1960,5720,12000
Important Bronze Figurine Excellent Condition,19270,55500
Documented Steuben Crystal Eagle Good Condition,10710,25000
Tramp Art Frame Layered,6220,16890
Continental 1804 Draped Bust Dollar With Certificate,12660,19960
Remarkable Regency Silver Sauce Boat Late Victorian,2290,6230
Early Wilt Chamberlain Jersey Good Condition,16480,38210
Ornate Ludwig Vistalite Drum Kit c.1820,23580,60000
Vienna Regulator Wall Clock Art Deco Period,1170,4050
Premier Dunhill Leather Briefcase,11140,34110
Notable Beadwork Purse Victorian c.1950,9270,25000
Continental Curta Calculator Type II,10380,27460
Select Ptolemy Atlas Page,5850,12000
Historic Vintage Ferragamo Pumps Unrestored,9120,18820
Restored Shell Oil Porcelain Sign Modernist Period,390,1340
Matched Marklin Tin Train Set c.1940,5930,8040
Vintage Aston Martin Wings Badge,1990,3930
Oversized Industrial Factory Pendant Excellent Condition,4050,5360
Delicate Tansu Japanese Step Chest c.1970,7000,18640
Matched Dinky Toys Collection Boxed,3590,8550
Pristine Celtic Harp Hand Carved c.1970 From Private Collection,6290,16980
Fine Cigar Store Indian Figure 19th Century,1150,1580
Exquisite Aboriginal Boomerang Carved,5040,7780
Scarce Nintendo Game Boy Sealed c.1840,2120,7080
Notable Baccarat Crystal Wine Glasses c.1950,4340,11190
Provenance Khmer Sandstone Apsara Relief,22120,60000
Certified Vintage Ray-Ban Aviators c.1820 Unrestored,8970,18650
Matched GI Joe Prototype Excellent Condition,7240,15000
Miniature Zuni Fetish Carving Collection,1210,2430
Oversized Korean War Dog Tags 18th Century,3780,10900
Colonial Quezal Art Glass Shade c.1800,10360,25000
Select Spain Classic Period Collection Modernist Period,22270,50000
Museum Quality Vietnamese Ceramic Bowl With Provenance,13530,35290
Outstanding Walker Evans FSA Print c.1910,11970,17290
Lyrical Abstraction Canvas c.1800 As Found,65680,150000
Published Audemars Piguet Royal Oak Belle Epoque,44160,73130
Larry Bird Game Worn Sneakers Mid-Century Good Condition,23680,41310
Superb Charcoal Cityscape Drawing,42000,128100
Estate Bakelite Telephone Rotary,9380,13680
Late WWII German Binoculars c.1780,3010,6650
Period Kneehole Desk Georgian c.1960,3160,5070
Miniature Peridot Stud Earrings Modernist Period,30450,75000
Ornate Pietra Dura Inlay Table Top,9140,13160
Documented Vintage Bulgari Necklace c.1930,15290,26360
Choice Shaker Oval Box Nested Set c.1960,7400,18000
Exhibited Backgammon Set Leather Vintage,2900,9750
Fine Buffet R13 Clarinet Good Condition,16670,57010
City Plan Paris 1750 Modernist Period,1860,3550
Pristine Meccano Construction Set Vintage,1720,3380
Notable Falconry Hood Leather Antique c.1800,1770,5960
Ship's Bell Clock Chelsea c.1880,8190,11330
Unique Dom Perignon 1996 c.1840,11190,19270
Cabochon Emerald Brooch,6550,9390
Unique Edward Steichen Fashion Print c.1780,13060,27960
Select Proof Silver Eagle Set Georgian Period As Found,33270,54150
Vintage Ray-Ban Aviators Mid-Century,14410,23040
Cast Iron Garden Urn Pair c.1840 With Certificate,4380,10140
Grand Astronomical Regulator Clock c.1900,3450,10290
Antique Victorian Chaise Lounge Mid-Century,12120,17060
Wedgwood Jasperware Plaque c.1840,6650,14030
Certified Bronze Figurine With Provenance,9370,32510
Exquisite Secretariat Derby Photo Modernist Period Recently Conserved,4060,7100
Published Macallan 25 Year Single Malt c.1910 From Private Collection,1850,4620
Lyrical Abstraction Canvas Recently Conserved,15980,48180
Czech Art Glass Sculpture,7720,25000
Thematic Space Collection,16830,43850
Outstanding Tlingit Chilkat Blanket c.1920,12440,38420
Important Sinumbra Lamp Cut Glass Shade c.1960,9930,19090
Ornate Zulu War Assegai Spear Arts & Crafts Era,2860,4120
Chinese Scroll Painting Landscape As Found,7460,14670
Restored Betty Lamp Iron Colonial c.1970 Estate Fresh,5590,8860
Grand Jumping Hour Watch Art Deco,43230,83970
Original Henri Cartier-Bresson Gelatin Print c.1800,3020,5000
Published Ashanti Gold Weight Bronze Post-War,3400,7330
Select Codex Fragment Medieval,15700,50000
Attributed Victorian Military Medals Group Regency Period Museum Deaccessioned,5020,7850
Late Pre-Prohibition Bourbon Bottle Federal Period,10120,22800
Marine Chronometer Boxed Edwardian Era Excellent Condition,8450,11130
Art Deco Wristwatch 19th Century Unrestored,30360,95520
Delicate Louis XIII Cognac Baccarat Decanter c.1970 Good Condition,870,1400
Exhibited Sepik River Ancestor Figure c.1820,19010,40000
Original Polynesian Tapa Cloth Estate Fresh,4210,10250
Desert Storm Challenge Coin Set,5930,8490
Hammond B3 Organ Arts & Crafts Era,19050,26690
Authentic Illuminated Medieval Psalter Edwardian Era,1610,3260
Early Miniature Portrait on Ivory c.1940,3320,6440
Rare Mobil Pegasus Neon Sign,2300,5000
Sony Walkman TPS-L2 Original,7530,20440
Calculating Machine Brunsviga Belle Epoque,440,890
Rhodes Mark I Stage Piano c.1930 Recently Conserved,12220,23040
Published Penny Bank Mechanical c.1880,2930,6030
Edward Steichen Fashion Print c.1970,7790,26970
Olympic Gold Medal Replica Empire Period,14710,34470
Monumental Herend Figurine Hand Painted c.1920,1380,1950
Sarouk Fereghan Rug 19th Century,3650,7380
Colonial Night Clock Oil Lamp Italian c.1780,4070,8710
Pediment Fragment Stone Mid-Century Unrestored,960,2880
Silver Gilt Wine Cooler,2930,7760
Superb Conn 8D French Horn,10590,31610
Period Lewis & Clark Expedition Map Unrestored,5770,9930
Venetian Lattimo Glass Bowl,5600,17180
Fine Fortuny Delphos Gown c.1820,5020,7580
Railroad Map United States 1870 c.1800,5220,10090
Magnificent WWII Propaganda Poster c.1940 Museum Deaccessioned,1130,3890
Exquisite Rhodes Mark I Stage Piano Good Condition,760,1250
Lee Friedlander Street Print,7780,21900
Attributed Waterford Crystal Decanter Set Early 20th Century Excellent Condition,490,1270
Matchbox Lesney Collection,5330,15000
Vintage Tube Amplifier c.1950,12900,30000
Matched Shaker Rocking Chair With Certificate,9480,25000
Irving Penn Still Life Print Late Victorian Good Condition,2330,4420
Outstanding Arts & Crafts Oak Settle c.1950,7810,23000
Oversized Van Briggle Lorelei Vase c.1860,19880,40000
Chinoiserie Lacquer Screen 18th Century,4770,16210
Provincial Cast Iron Garden Sculpture Art Deco Period Excellent Condition,24920,48900
Gibson Les Paul Standard 1959 c.1940,4970,13310
Ornate French Ormolu Mantel Clock,1210,2830
Pristine Sheffield Plate Epergne,6280,20000
Fine Concrete Brutalist Form Regency Period,38300,77250
Miniature Soumak Flatweave Bag Recently Conserved,9910,23450
Miniature Nintendo Game Boy Sealed Unrestored,2670,9100
Unmatched Military Field Watch WWII,4740,13200
